"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C114,C11,C120,C112,C17,C9,C8,C7,C101,C98,C103,C107,C115,C12,C100,C99,C96,C95,C94,C27,C26,C108,C109,C116,C117,C13,C14,C1";"C_0402_1005Metric";28;"1uF";;;
2;"R13,R11,R8,R7,R35,R39,R14,R30,R6,R4";"R_0402_1005Metric";10;"1K";;;
3;"Q2,Q1";"SOT-23";2;"Q_NMOS_GSD";;;
4;"J7,J6";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Male";;;
5;"C106,C104,C92,C111,C119,C16";"C_0402_1005Metric";6;"0.1uF";;;
6;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
7;"J5,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
8;"J4";"Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical";1;"Conn_01x02_Male";;;
9;"L4,L3,L1";"L_10x7_H10";3;"L";;;
10;"R3";"R_0402_1005Metric";1;"1K5";;;
11;"C6,C91";"C_0603_1608Metric";2;"4.7uF";;;
12;"C5";"R_0402_1005Metric";1;"1uF";;;
13;"U5";"QFN-16_3x3_Pitch0.5mm";1;"QMC5883L";;;
14;"R15,R37,R36,R41,R40,R16";"R_0402_1005Metric";6;"2R";;;
15;"C42,C36";"C_0805_2012Metric";2;"22uF";;;
16;"U10,U9,U2";"QFN-40_5x6_Pitch0.45mm";3;"FDMF3170";;;
17;"U8";"SOT-23-6";1;"LMR16006YQ";;;
18;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F412RETx";;;
19;"U7,U6";"SOT-23";2;"APE8865N-33-HF-3";;;
20;"R12,R10";"R_0402_1005Metric";2;"2.2K";;;
21;"R33";"R_0402_1005Metric";1;"13K";;;
22;"R32";"R_0402_1005Metric";1;"68K";;;
23;"R31";"R_0402_1005Metric";1;"220R";;;
24;"R29";"R_0402_1005Metric";1;"4K7";;;
25;"R9,TH1,R5,R2,R1";"R_0402_1005Metric";5;"10K";;;
26;"L2";"L_1210_3225Metric";1;"10uH";;;
27;"D14,D16,D1";"D_SOD-123";3;"D";;;
28;"D15";"SOT-23";1;"TL432DBZ";;;
29;"C113,C105,C10";"C_0402_1005Metric";3;"22pF";;;
30;"C90";"C_0402_1005Metric";1;"0.22uF";;;
31;"C110,C118,C15";"C_0402_1005Metric";3;"220nF";;;
32;"C102,C2";"C_0402_1005Metric";2;"10nF";;;
33;"C97,C93,C45,C86,C89,C88,C74,C82,C85,C84,C87,C78,C81,C79,C83,C77,C75,C80,C70,C73,C76,C66,C69,C72,C71,C62,C65,C68,C67,C58,C61,C64,C63,C54,C57,C60,C59,C50,C53,C56,C55,C46,C49,C52,C51,C41,C48,C47,C37,C44,C43,C40,C39,C38,C35,C34,C33,C32,C31,C30,C29,C28";"C_0805_2012Metric";62;"4.7uF";;;
34;"NT1,NT3,NT2";"NetTie-2_SMD_Pad2.0mm";3;"Net-Tie_2";;;
35;"R28,R27,R26,R25,R24,R23,R22,R21";"R_0402_1005Metric";8;"220K";;;
36;"R20,R19,R18,R17";"R_0402_1005Metric";4;"300R";;;
37;"C25,C24,C23,C22,C21,C20,C19,C18";"C_0402_1005Metric";8;"6pF";;;
38;"C4,C3";"C_0402_1005Metric";2;"12pF";;;
39;"D10,D12,D6,D8,D13,D11,D9,D7";"D_0805_2012Metric";8;"D_Photo";;;
40;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
41;"U4,U3";"SOIC-14_3.9x8.7mm_P1.27mm";2;"OPA4340UA";;;
42;"MH4,MH3,MH2,MH1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
43;"J3";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
44;"D5,D4,D3,D2";"D_0603_1608Metric_Castellated";4;"LED";;;
